ActorDB,2018-10,0.133
ActorDB,2018-11,0.151
ActorDB,2018-12,0.152
ActorDB,2019-01,0.145
ActorDB,2019-02,0.146
ActorDB,2019-03,0.142
ActorDB,2019-04,0.142
ActorDB,2019-05,0.133
ActorDB,2019-06,0.117
ActorDB,2019-07,0.105
ActorDB,2019-08,0.092
ActorDB,2019-09,0.088
ActorDB,2019-10,0.071
ActorDB,2019-11,0.045
PipelineDB,2016-03,0.021
PipelineDB,2016-04,0.031
PipelineDB,2016-05,0.015
PipelineDB,2016-06,0.005
PipelineDB,2016-07,0.005
PipelineDB,2016-08,0.011
PipelineDB,2016-09,0.005
PipelineDB,2016-10,0.006
PipelineDB,2016-11,0.009
PipelineDB,2016-12,0.005
PipelineDB,2017-01,0.052
PipelineDB,2017-02,0.056
PipelineDB,2017-03,0.119
PipelineDB,2017-04,0.197
PipelineDB,2017-05,0.244
PipelineDB,2017-06,0.226
PipelineDB,2017-07,0.225
PipelineDB,2017-08,0.197
PipelineDB,2017-09,0.194
PipelineDB,2017-10,0.102
PipelineDB,2017-11,0.069
PipelineDB,2017-12,0.094
PipelineDB,2018-01,0.110
PipelineDB,2018-02,0.105
PipelineDB,2018-03,0.101
PipelineDB,2018-04,0.132
PipelineDB,2018-05,0.179
PipelineDB,2018-06,0.202
PipelineDB,2018-07,0.216
PipelineDB,2018-08,0.220
PipelineDB,2018-09,0.228
PipelineDB,2018-10,0.199
PipelineDB,2018-11,0.223
PipelineDB,2018-12,0.218
PipelineDB,2019-01,0.239
PipelineDB,2019-02,0.216
PipelineDB,2019-03,0.346
PipelineDB,2019-04,0.261
PipelineDB,2019-05,0.280
PipelineDB,2019-06,0.276
PipelineDB,2019-07,0.262
PipelineDB,2019-08,0.246
PipelineDB,2019-09,0.255
PipelineDB,2019-10,0.250
PipelineDB,2019-11,0.290
Hawkular Metrics,2016-01,0.005
Hawkular Metrics,2016-02,0.005
Hawkular Metrics,2016-03,0.005
Hawkular Metrics,2016-04,0.005
Hawkular Metrics,2016-05,0.005
Hawkular Metrics,2016-06,0.005
Hawkular Metrics,2016-07,0.005
Hawkular Metrics,2016-08,0.005
Hawkular Metrics,2016-09,0.005
Hawkular Metrics,2016-10,0.005
Hawkular Metrics,2016-11,0.005
