,wenzhang_comment
239,终究还是分开了。喜欢你的才华和演技，希望会继续有作品呈现。对你的私生活不多加评论，希望往后余生，各自安好。文章同学，请继续加油。不用太过于在意不和谐的声音，注重作品吧。加油加油 
240,离就是离，还弄得那么文艺干嘛。就是分开了么，还说的像挺好听似的。既然如此，早干嘛 
241,你最后还是负了她，你的老婆马伊琍，再也不是你的了，再也不是你的骄傲了吧 
242,望以后各自安好 
243,裸婚时代  雪豹 超级喜欢 
244,愿你继续前行，同祝马指导！ 
245,伟大！ 
246,回复@Lin-Syukam琴琴酱-:你不懂男人。 
247,回复@你老公叫仙洋么:你活动要 邀请他啊？ 
248,凡为夫妇之因，前世三生结缘，始配今生之夫妇。若结缘不合，比是怨家，故来相对……既以二心不同，难归一意，快会及诸亲，各还本道。愿妻娘子相离之后，重梳婵鬓，美扫娥眉，巧逞窈窕之姿，选聘高官之主。解怨释结，更莫相憎。一别两宽，各生欢喜。 
249,尊重你们的选择！依然支持你们！ 
250,好聚好散，放手追寻今生真爱。 
251,不管怎么样，是男人勇于承担是好的。支持你. 
252,哎，好好演戏吧 
253,回复@你老公叫仙洋么:支持小洋，支持文章 
254,小文快出来拍戏 
255,感情之事无对错，两人以后都好好的。一直支持 
256,总感觉是在开玩笑，你俩应该一路同行为什么要半路？亲情的守候是不离不弃、想想对方的好、人一生从爱情不是很熟到亲情、总说谁和谁缘分尽了那都是借口给自己写了造句、可是你俩不一样、你俩让我相信演艺圈不都是一个因为拍戏就会乱选、乱选是不专业演员干的事、过去的事都算个q呀、谁一辈子不会犯错 
257,男人的幸福来自于控制自己的欲望。 玩弄自己的家庭， 在你顺利的时候也许还不是问题， 但如果到了人生的低谷， 失去家庭你就真的一无所有了。 
258,爱情转化为亲情，也不失为一种幸福！此生割舍不掉，温情守候吧！ 
259,无论怎样，婚姻只有自己知道，理解你的所有，依旧喜欢你，希望你把更多的精力投入作品，期待你的下一步作品 
260,一段感情放下也很不容易，支持文章稀罕你以后会一直关注你 
261,文章同学，会好起来的。 
262,回复@今天继续喜欢张国荣:呕 
263,所以为什么演艺圈的要找一个圈外的人，贵圈太乱，想相守一生，谈何容易！ 
264,希望早点看到你的影视作品，有颜值有演技，难得的实力派，支持一下 
265,爱她为啥会这样子。 
266,和好容易，如初太难 
267,曾经的誓言，多么的卑微！ 
268,文章，希望你能幸福。 
269,人生没有对错，只有成长 
270,顺其自然，一切随缘 
271,人非圣贤孰能无过，知错能改善也，揪着不放恶也!各自安好，顾好家人!余生漫漫，孰是真爱!@马伊琍 @文章同學 
272,善良是最难得的品行 
273,没有蚊帐还有蚊香，没有伊利还有蒙牛。没有谁离不开谁 
274,为什么！ 
275,回复@你老公叫仙洋么:挺你 
276,各自安好，期待作品 
277,早就该离了，看着自己的老婆事业蒸蒸日上，自己仿佛被雪藏，与其每天憋屈的过日子，不如趁早离开，你的确有错，可是到底要惩罚你多久呢？不仅仅你受够了，我一个旁观者都受够了，我希望你努力争取复出，我希望看到你更多的作品，你的才华不应该被埋没 
278,图片评论 ¡评论配图 
279,你的人生真如戏 
280,一别两宽，各生欢喜，西安乡党，挺住 
281,从来不追星 几年前认为你是一个好男人 现在真的无法形容 ? 
282,好可惜   但是还是希望你们都能幸福 
