content,gender,userlevel,score,ticket
冲着大哥和阿诺去的，电影3d效果还可以，但是就是骗人啊，他俩只能算是友情出演，像她妈个锤子一样，简直无语,1,4,3,0
成龙怎么变成这样了一次比一次不好看，看的想吐,1,4,1,0
很一般，跟评论里说的差不多 ，打发时间可以看看。,0,1,5,1
首先是影院，3D眼镜要自己去机子上去取，感觉很麻烦很费时间，然后电影内容感觉像个神话故事，感觉一般般，个人感觉适合小孩子看啦，成龙大哥的电影我都喜欢，但是这个电影真心不是很喜欢，还是点赞一下啦！,0,1,6,1
一般般。。。。。。。。。,1,2,6,1
凑活吧唧吧唧,0,2,7,1
还可以的了！,2,3,10,0
不知道，要不要去看,0,3,0,0
去看的时候其实看到评分觉得大概又是商业烂片…但是看了发现真的还挺好看！！！虽然背景和剧情都有点扯，但是情节很紧凑，选角也很合适，还挺好看的！！！,2,4,9,0
还好，，，，,2,2,8,0
可能不如上海堡垒,2,3,1,0
成龙大哥的电影一如既往的正面，而且动作及剧情也都很棒，继续支持！,1,4,10,0
画面打斗很精彩，景色也很漂亮!,1,3,10,0
特效不错！可惜，龙哥，戏份太少了！,1,4,10,0
垃圾中的极品,2,2,1,0
一股爱国气息,2,2,10,0
很烂烂片烂片,1,3,1,0
不说太多了，还好吧🧐,1,4,7,0
好看，我和孩子都爱看！,0,2,10,0
我是很喜欢这个电影,2,4,10,0
这部电影治好了我多年的失眠症。,1,4,4,0
一般，适合小孩子看,2,3,7,1
一般般，虽然是3d,0,2,2,0
还不错吧！网评分低！但是整部电影深意很大！成龙虽然是镜头很少！但是不影响电影好看！,0,6,8,0
真的也就一般般了，情节，画面，特效不能深究！,1,3,6,1
成龙的电影还是功夫是主要亮点。故事比较有意思，但是电影情节感觉不够流畅。有中国传统元素的形式，但没有神韵。没什么令人惊喜的东西。结尾太过刻意地述说寓意，有点掉档次。,0,1,6,1
成龙你在透支自己,1,1,3,0
有点像舞台剧 哈哈哈 一般,0,3,10,0
嗯call才理我就,1,3,10,0
影片总体还是可以的，是值得一看的..…………………………………………………………………………...................…………………………,0,1,10,0
剧情实在很一般,1,4,5,1
不错!🤗🤗🤗🤗,0,2,9,0
不错，龙文化的大电影。有好莱坞的感觉，,1,3,10,0
真的挺好看。也是因为成龙大哥。,1,2,10,0
我感觉还不错 不知道 为什么有人认为 不好看 无语,1,2,10,0
看预告还可以啊，有点加勒比海盗的感觉，为啥评论这么低，评论喷字当道了？太可怕了！支持下吧！希望国外大卖！,1,3,10,0
超级哈哈，小精灵好可爱嘛,2,3,7,1
好看，特效情节都不错。,0,4,10,0
龙叔演的好看,0,3,10,0
挺好挺好挺好,1,2,10,0
