content,gender,userlevel,score,ticket
国漫加油冲冲冲！！！真的太棒了！！！,0,3,10,0
挺好的，下次还回去,0,2,10,0
非常好看的国产动漫,2,1,10,0
看的就是个情怀,0,2,6,1
直戳泪点，棒极了！！！,2,2,9,0
又哭又笑，立意很棒。,2,2,10,0
确实不错的电影！,1,2,10,0
好看 震撼人心,0,1,10,0
国漫崛起。无需多说。期待姜子牙,1,3,10,0
特效不错，剧情也不错,2,2,10,0
带孩子看的，挺好看的,1,2,10,0
好看，带小孩去的，小孩看的很激动，一直笑,2,1,10,0
人之初性本善,1,1,8,0
非常棒 好看,0,2,10,0
好看，带闺女去的,1,2,10,0
不错呢，非常好看,1,1,10,0
值得推荐的一部电影，带孩子去看的，电影很不错,2,1,9,0
国产动画电影越来越好了！,0,2,10,0
真的不虚此行,1,2,10,0
3D真的是太棒了，看起来很有感觉,2,1,10,0
好看(｡･ω･｡)ﾉ♡,0,2,9,0
说实话，电影很棒,0,1,10,0
很好，拍的不错,1,3,10,0
非常不错，挺好,2,2,10,0
不错不错不错,1,2,10,0
嗯不错还可以看一遍,0,2,8,0
好看，真的好看,2,2,9,0
我命由我不由天,0,2,10,0
好看，推荐。,0,1,9,0
不错的 不错的,0,2,9,0
还可以吧感触不大，主要是因为平时对国产动漫没怎么关注过，还是支持一下吧,0,1,10,0
孩子很喜欢，挺不错的一部电影,0,2,10,0
嗯，还好，挺好,0,1,10,0
很不错，下次还来,0,4,10,0
这部电影真的很不错，剧情不失幽默。感觉真心不错，值得推荐,0,1,10,0
好(✪▽✪),0,2,10,0
中国动漫已崛起,0,1,10,0
好亲爱的们都,0,3,10,0
太好看了哇！,0,2,10,0
我命由我不由天,0,1,10,0
2019印象最深刻的电影，真的不错。比国庆三部曲好看。,1,2,10,0
还不错电影。,2,2,9,0
好看。。。。。,0,2,10,0
好看，很好看,1,1,10,0
超级棒！！！,2,3,10,0
感人而且好看,0,2,9,0
很好看，强烈推荐,1,2,10,0
特效和幽默上做的不错，剧情一般般，还有上升空间。,1,2,9,0
很搞笑值得推荐,1,3,10,0
非常棒非常棒,2,2,10,0
个人不太喜欢这种风格，但是真心值得一看,0,2,7,1
我觉得很好看,0,1,10,0
特别好看，值得推荐,0,2,10,0
很好看，值得,0,2,10,0
路虎倪敏至尊,1,1,10,0
好看！！！！！,0,2,10,0
好帅的，超喜欢啊！,2,2,10,0
好看，支持国产动画,1,1,10,0
唯一一个给十分的剧，各种感动，各种震撼,2,2,10,0
电影很好看，就是环境不怎么好,0,2,9,0
哈哈哈哈可口可乐了了,0,3,9,0
为什么评论还要有字数要求才能发,1,3,8,0
不喜欢，不好看,1,1,2,0
算是惊喜……,0,4,9,0
主角光环太强大,0,2,10,0
好看123456,2,2,10,0
国产动画太好看了吧,0,2,10,0
一直期待的电影，超级超级好看，国漫崛起了,2,1,10,0
那乇  哪吒,0,1,10,0
看完以后感触特别深！喜欢,0,1,10,0
挺好看。。。。,0,2,10,0
